State,CMS Certification Number (CCN),Provider Name,Address,City/Town,ZIP Code,Telephone Number,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,Footnote for quality of patient care star rating,Numerator for how often the home health team began their patients' care in a timely manner,Denominator for how often the home health team began their patients' care in a timely manner,How often the home health team began their patients' care in a timely manner,Footnote for how often the home health team began their patients' care in a timely manner,Numerator for how often the home health team determined whether patients received a flu shot for the current flu season,Denominator for how often the home health team determined whether patients received a flu shot for the current flu season,How often the home health team determined whether patients received a flu shot for the current flu season,Footnote for how often the home health team determined whether patients received a flu shot for the current flu season,Numerator for how often patients got better at walking or moving around,Denominator for how often patients got better at walking or moving around,How often patients got better at walking or moving around,Footnote for how often patients got better at walking or moving around,Numerator for how often patients got better at getting in and out of bed,Denominator for how often patients got better at getting in and out of bed,How often patients got better at getting in and out of bed,Footnote for how often patients got better at getting in and out of bed,Numerator for how often patients got better at bathing,Denominator for how often patients got better at bathing,How often patients got better at bathing,Footnote for how often patients got better at bathing,Numerator for how often patients' breathing improved,Denominator for how often patients' breathing improved,How often patients' breathing improved,Footnote for how often patients' breathing improved,Numerator for how often patients got better at taking their drugs correctly by mouth,Denominator for how often patients got better at taking their drugs correctly by mouth,How often patients got better at taking their drugs correctly by mouth,Footnote for how often patients got better at taking their drugs correctly by mouth,Numerator for Changes in skin integrity post-acute care: pressure ulcer/injury,Denominator for Changes in skin integrity post-acute care: pressure ulcer/injury,Changes in skin integrity post-acute care: pressure ulcer/injury,Footnote Changes in skin integrity post-acute care: pressure ulcer/injury,Numerator for how often physician-recommended actions to address medication issues were completely timely,Denominator for how often physician-recommended actions to address medication issues were completely timely,How often physician-recommended actions to address medication issues were completely timely,Footnote for how often physician-recommended actions to address medication issues were completely timely,Numerator for Percent of Residents Experiencing One or More Falls with Major Injury,Denominator for Percent of Residents Experiencing One or More Falls with Major Injury,Percent of Residents Experiencing One or More Falls with Major Injury,Footnote for Percent of Residents Experiencing One or More Falls with Major Injury,Numerator for Discharge Function Score,Denominator for Discharge Function Score,Discharge Function Score,Footnote for Discharge Function Score,Numerator for Transfer of Health Information to the Provider,Denominator for Transfer of Health Information to the Provider,Transfer of Health Information to the Provider,Footnote for Transfer of Health Information to the Provider,Numerator for Transfer of Health Information to the Patient,Denominator for Transfer of Health Information to the Patient,Transfer of Health Information to the Patient,Footnote for Transfer of Health Information to the Patient,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,Footnote for DTC Risk-Standardized Rate,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,Footnote for PPR Risk-Standardized Rate,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,Footnote for PPH Risk-Standardized Rate,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","Footnote for how much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)",County
MD,217047,REVIVAL HOMECARE AGENCY - HOME HEALTH,"1101 MERCANTILE LANE, SUITE 292",UPPER MARLBORO,20774,7032259477,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,07/01/1980,4,-,"2,542","2,761",92.1,-,"1,139","1,532",74.3,-,"1,889","2,032",92.1,-,"1,881","2,027",90.3,-,"1,855","2,032",90.8,-,"1,895","1,956",94.4,-,"1,858","2,008",92.1,-,3,"2,077",0,-,"2,669","2,761",96.7,-,11,"2,666",0.4,-,"1,281","2,027",63.2,-,280,308,90.91,-,"1,555","1,769",87.9,-,"1,387","1,947",71.24,80.18,78.26,82.24,Better Than National Rate,-,46,"1,016",4.53,4.08,3.32,5.14,Same As National Rate,-,82,971,8.44,7.22,6.01,8.44,Better Than National Rate,-,0.91,-,"3,020","Prince George's County, MD"
MD,217120,"PHR OF MARYLAND, INC.",4429 FORBES BLVD,LANHAM,20706,3015528325,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,09/20/1985,3,-,361,376,96,-,184,210,87.6,-,212,265,80,-,221,265,83,-,228,265,85.6,-,190,211,92.2,-,219,264,84.8,-,0,272,0,-,351,376,93.4,-,7,376,1.9,-,149,260,57.31,-,23,24,95.83,-,206,248,83.06,-,460,675,68.15,78.81,75.33,82.17,Same As National Rate,-,14,375,3.73,3.8,2.95,5.38,Same As National Rate,-,35,310,11.29,8.72,6.75,11.3,Same As National Rate,-,1,-,"1,051","Prince George's County, MD"
MD,217150,MEDSTAR HEALTH HOME CARE,"6404 IVY LN, STE 110",HYATTSVILLE,20782,2409652929,NON-PROFIT,Yes,Yes,Yes,Yes,Yes,Yes,08/01/2002,4,-,"6,298","6,575",95.8,-,"2,908","4,067",71.5,-,"4,445","4,969",90.2,-,"4,387","4,901",91.4,-,"4,504","4,987",89.4,-,"3,871","4,152",95.6,-,"4,014","4,645",88.3,-,12,"5,130",0.3,-,"6,261","6,577",95.2,-,40,"6,512",0.6,-,"3,559","4,989",71.34,-,367,433,84.76,-,"4,173","4,697",88.84,-,"4,848","6,405",75.69,80.95,79.84,82.11,Better Than National Rate,-,122,"3,622",3.37,3.65,3.17,4.2,Same As National Rate,-,221,"3,258",6.78,6.67,5.94,7.49,Better Than National Rate,-,0.97,-,"8,093","Prince George's County, MD"
MD,217152,AMERICARE IN HOME NURSING,10905 FORT WASHINGTON ROAD,FORT WASHINGTON,20744,8002969002,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,12/05/2003,4.5,-,"1,757","1,833",95.9,-,768,"1,219",63,-,"1,222","1,344",90.5,-,"1,235","1,338",93.3,-,"1,213","1,334",94.2,-,"1,117","1,161",95.6,-,"1,239","1,321",93,-,2,"1,382",0,-,"1,834","1,846",99.3,-,10,"1,845",0.5,-,775,"1,347",57.54,-,76,104,73.08,-,"1,066","1,272",83.81,-,907,"1,201",75.52,81.81,79.38,84.06,Better Than National Rate,-,34,892,3.81,3.8,3,4.83,Same As National Rate,-,58,624,9.29,8.42,6.78,10.37,Same As National Rate,-,0.96,-,"1,510","Prince George's County, MD"
MD,217154,"PROFESSIONAL HEALTHCARE RESOURCES OF MARYLAND, INC.","10605 CONCORD STREET, SUITE 309",KENSINGTON,20895,2403950000,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,04/25/2005,3,-,501,501,100,-,280,307,91.2,-,309,369,81.7,-,326,369,85.6,-,306,369,81,-,248,331,77,-,306,366,82,-,0,377,0,-,433,501,86.4,-,5,497,1,-,252,367,68.66,-,37,52,71.15,-,267,325,82.15,-,501,725,69.1,76.94,73.47,80.12,Same As National Rate,-,16,352,4.55,4.14,3.07,5.37,Same As National Rate,-,39,326,11.96,10.35,8.03,13.46,Same As National Rate,-,0.98,-,"1,161","Prince George's County, MD"
