CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Telephone Number,Provider SSA County Code,County/Parish,Ownership Type,Number of Certified Beds,Average Number of Residents per Day,Average Number of Residents per Day Footnote,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid Services,Affiliated Entity Name,Affiliated Entity ID,Continuing Care Retirement Community,Special Focus Status,Abuse Icon,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Long-Stay QM Rating,Long-Stay QM Rating Footnote,Short-Stay QM Rating,Short-Stay QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total number of nurse staff hours per resident per day on the weekend,Registered Nurse hours per resident per day on the weekend,Reported Physical Therapist Staffing Hours per Resident Per Day,Total nursing staff turnover,Total nursing staff turnover footnote,Registered Nurse turnover,Registered Nurse turnover footnote,Number of administrators who have left the nursing home,Administrator turnover footnote,Nursing Case-Mix Index,Nursing Case-Mix Index Ratio,Case-Mix Nurse Aide Staffing Hours per Resident per Day,Case-Mix LPN Staffing Hours per Resident per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day,Adjusted Nurse Aide Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Adjusted Weekend Total Nurse Staffing Hours per Resident per Day,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2 Number of Complaint Health Deficiencies,Rating Cycle 2 Health Deficiency Score,Rating Cycle 2 Number of Health Revisits,Rating Cycle 2 Health Revisit Score,Rating Cycle 2 Total Health Score,Rating Cycle 3 Standard Health Survey Date,Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 3 Number of Standard Health Deficiencies,Rating Cycle 3 Number of Complaint Health Deficiencies,Rating Cycle 3 Health Deficiency Score,Rating Cycle 3 Number of Health Revisits,Rating Cycle 3 Health Revisit Score,Rating Cycle 3 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Citations from Infection Control Inspections,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Latitude,Longitude,Geocoding Footnote,Processing Date
215106.0,GREEN ACRES NURSING AND REHAB,10200 LA PLATA ROAD,LA PLATA,MD,20646,3019341900,80,Charles,For profit - Limited Liability company,170,138.1,,Medicare and Medicaid,N,Legal Business Name Not Available,1977-01-01,,,N,,N,N,Y,Resident,Yes,3.0,,3.0,,2.0,,2.0,,2.0,,2.0,,,,2.51403,1.13222,0.51147,1.64369,4.15772,3.41318,0.25485,0.05164,64.7,,77.3,,2.0,,1.45517,1.06828,2.473,0.92767,0.71051,4.11118,3.61387,2.34015,1.05391,0.47609,3.87016,3.17711,2024-08-22,22.0,18.0,8.0,92.0,1.0,0.0,92.0,2020-03-03,9.0,9.0,0.0,36.0,1.0,0.0,36.0,2018-08-09,4.0,4.0,0.0,20.0,1.0,0.0,20.0,61.333,0,0,,0,0.0,0,0,"10200 LA PLATA ROAD,LA PLATA,MD,20646",38.5326,-76.958,,2025-03-01
215151.0,COMPLETE CARE AT LAPLATA LLC,1 MAGNOLIA DRIVE,LAPLATA,MD,20646,3019344001,80,Charles,For profit - Corporation,142,130.2,,Medicare and Medicaid,N,COMPLETE CARE AT LA PLATA LLC,1984-03-19,COMPLETE CARE,157.0,N,,N,Y,N,Resident,Yes,4.0,,3.0,,5.0,,5.0,,5.0,,2.0,,,,1.85167,0.86112,0.66296,1.52408,3.37575,3.01495,0.50429,0.02163,43.1,,58.6,,1.0,,1.43324,1.05218,2.43573,0.91369,0.6998,4.04922,3.5594,1.74997,0.81383,0.62655,3.19035,2.84936,2020-01-30,20.0,2.0,18.0,104.0,1.0,0.0,104.0,2018-07-27,9.0,9.0,0.0,44.0,1.0,0.0,44.0,2017-04-11,8.0,8.0,0.0,28.0,1.0,0.0,28.0,71.333,0,0,,0,0.0,0,0,"1 MAGNOLIA DRIVE,LAPLATA,MD,20646",38.5365,-76.988,,2025-03-01
215273.0,WALDORF  CENTER,4140 OLD WASHINGTON HIGHWAY,WALDORF,MD,20602,3016452813,80,Charles,For profit - Corporation,115,111.7,,Medicare and Medicaid,N,4140 OLD WASHINGTON HIGHWAY OPERATIONS LLC,1995-06-01,GENESIS HEALTHCARE,237.0,N,,N,N,N,Resident,Yes,4.0,,3.0,,5.0,,5.0,,5.0,,3.0,,,,1.67914,1.01154,0.60452,1.61606,3.2952,3.01271,0.37966,0.06338,29.5,,16.7,,1.0,,1.41494,1.03875,2.40464,0.90203,0.69087,3.99754,3.51397,1.60743,0.96834,0.57871,3.15449,2.88406,2024-08-20,24.0,13.0,12.0,132.0,1.0,0.0,132.0,2019-06-11,4.0,4.0,0.0,20.0,1.0,0.0,20.0,2018-02-27,6.0,6.0,0.0,24.0,1.0,0.0,24.0,76.667,0,0,,0,0.0,0,0,"4140 OLD WASHINGTON HIGHWAY,WALDORF,MD,20602",38.5991,-76.934,,2025-03-01
215362.0,RESTORE HEALTH REHABILITATION CENTER,4615 EINSTEIN PLACE,WHITE PLAINS,MD,20695,2404482000,80,Charles,For profit - Corporation,80,61.9,,Medicare and Medicaid,N,WHITE PLAINS HEALTH CARE LLC,2015-02-27,FUNDAMENTAL HEALTHCARE,231.0,N,,N,Y,N,Resident,Yes,2.0,,2.0,,2.0,,2.0,,3.0,,2.0,,,,1.79607,1.25074,0.61066,1.8614,3.65747,3.16447,0.33116,0.11733,54.5,,58.3,,0.0,,1.55359,1.14054,2.64026,0.99041,0.75856,4.38924,3.85829,1.56594,1.09048,0.53242,3.18883,2.759,2022-09-21,20.0,20.0,13.0,150.0,1.0,0.0,150.0,2018-12-17,6.0,6.0,0.0,28.0,1.0,0.0,28.0,2017-08-17,12.0,10.0,3.0,68.0,1.0,0.0,68.0,95.667,13,31,3.0,1,59169.5,0,1,"4615 EINSTEIN PLACE,WHITE PLAINS,MD,20695",38.5926,-76.957,22.0,2025-03-01
