Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,HCAHPS Measure ID,HCAHPS Question,HCAHPS Answer Description,Patient Survey Star Rating,Patient Survey Star Rating Footnote,HCAHPS Answer Percent,HCAHPS Answer Percent Footnote,HCAHPS Linear Mean Value,Number of Completed Surveys,Number of Completed Surveys Footnote,Survey Response Rate Percent,Survey Response Rate Percent Footnote,Start Date,End Date
90001,GEORGE WASHINGTON UNIV HOSPITAL,900 23RD ST NW,WASHINGTON,DC,20037,THE DISTRICT,(202) 716-4605,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,67,,Not Applicable,505,,11,,04/01/2023,03/31/2024
90003,HOWARD UNIVERSITY HOSPITAL CORP,2041 GEORGIA AVE NW,WASHINGTON,DC,20060,THE DISTRICT,(202) 745-6100,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,66,,Not Applicable,278,,6,,04/01/2023,03/31/2024
90004,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,3800 RESERVOIR RD,WASHINGTON,DC,20007,THE DISTRICT,(202) 784-3000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,74,,Not Applicable,1721,,17,,04/01/2023,03/31/2024
90005,SIBLEY MEMORIAL HOSPITAL,5255 LOUGHBORO RD NW,WASHINGTON,DC,20016,THE DISTRICT,(202) 537-4680,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,69,,Not Applicable,1813,,20,,04/01/2023,03/31/2024
90008,UNITED MEDICAL CENTER,1310 SOUTHERN AVENUE  SE,WASHINGTON,DC,20032,THE DISTRICT,(202) 574-6611,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,57,6.0,Not Applicable,74,6.0,4,6.0,04/01/2023,03/31/2024
90011,MEDSTAR WASHINGTON HOSPITAL CENTER,110 IRVING STREET NW,WASHINGTON,DC,20010,THE DISTRICT,(202) 877-7000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,70,,Not Applicable,2473,,13,,04/01/2023,03/31/2024
09002F,WASHINGTON DC VA MEDICAL CENTER,50 IRVING STREET N.W.,WASHINGTON,DC,20422,THE DISTRICT,(202) 745-8000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,72,,Not Applicable,462,,21,,04/01/2023,03/31/2024
93300,CHILDREN'S NATIONAL HOSPITAL,"111 MICHIGAN AVE, NW",WASHINGTON,DC,20010,THE DISTRICT,(202) 476-5000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,Not Available,19.0,Not Applicable,Not Available,19.0,Not Available,19.0,04/01/2023,03/31/2024
