CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Ownership Type,Certification Date
211502,HOLY CROSS HOME CARE AND HOSPICE,10720 COLUMBIA PIKE SECOND FLOOR,,SILVER SPRING,MD,20901,Montgomery,(301) 557-4663,3,Non-Profit,05/09/1986
211503,PRINCE GEORGE'S HOSPICE,"1355 PICCARD DRIVE, SUITE 100",,ROCKVILLE,MD,20850,Montgomery,(301) 921-4400,3,Non-Profit,06/16/1986
211508,JEWISH SOCIAL SERVICE AGENCY HOSPICE,6123 MONTROSE ROAD,,ROCKVILLE,MD,20850,Montgomery,(301) 881-3700,3,Non-Profit,08/16/1988
211509,HOSPICE OF THE CHESAPEAKE,90 RITCHIE HIGHWAY,,PASADENA,MD,21122,Anne Arundel,(443) 837-1519,3,Non-Profit,09/26/1988
211519,"HOSPICE OF THE CHESAPEAKE, INC.",2505 DAVIS ROAD,,WALDORF,MD,20603,Charles,(443) 837-1519,3,Non-Profit,10/25/1991
211541,CAPITAL CARING,9885 GREENBELT ROAD,,LANHAM,MD,20706,Prince George's,(301) 883-0866,3,Other,03/17/2001
211542,HEARTLAND HOSPICE (BELTSVILLE),"12304 BALTIMORE AVENUE, SUITE A",,BELTSVILLE,MD,20705,Prince George's,(240) 264-1692,3,For-Profit,11/06/2003
211544,AMEDISYS HOSPICE,1400 MERCANTILE LANE SUITE 228,,LARGO,MD,20774,Prince George's,(301) 349-3568,3,Other,03/03/2020
211546,LUMINIS HEALTH GILCHRIST LIFE CARE INSTITUTE,"2000 MEDICAL PARKWAY, SUITE 607",,ANNAPOLIS,MD,21401,Anne Arundel,(443) 843-8200,3,Other,05/18/2022
