CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Measure Code,Measure Name,Score,Footnote,Measure Date Range
91501,CAPITAL HOSPICE,"5225 WISCONSIN AVENUE, NW",,WASHINGTON,DC,20015,District Of Columbia,(202) 244-8300,3,H_001_01_DENOMINATOR,,625,,04/01/2023-03/31/2024
91505,"VITAS INNOVATIVE HOSPICE CARE OF GREATER WASH, DC","1200 FIRST STREET, NE  SUITE 320",,WASHINGTON,DC,20002,District Of Columbia,(202) 414-5411,3,H_001_01_DENOMINATOR,,241,,04/01/2023-03/31/2024
91506,PROFESSIONAL HEALTHCARE RESOURCES OF WASHINGTON DC,1010 WISCONSIN AVENUE NW,,WASHINGTON,DC,20007,District Of Columbia,(202) 955-8355,3,H_001_01_DENOMINATOR,,Not Available,4,04/01/2023-03/31/2024
91508,AFFINITY CARE OF DC LLC,1205 BRENTWOOD ROAD NE,,WASHINGTON,DC,20018,,,3,H_001_01_DENOMINATOR,,40,,04/01/2023-03/31/2024
91509,ACCENTCARE HOSPICE & PALLIATIVE CARE OF WASHINGTON,800 MAINE AVE SW,,WASHINGTON,DC,20024,,(804) 690-2412,3,H_001_01_DENOMINATOR,,Not Available,2,04/01/2023-03/31/2024
