CMS Certification Number (CCN),Provider Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Measure Code,Score,Footnote,Start Date,End Date,Measure Date Range
92002,BRIDGEPOINT CONT CARE HOSPITAL - CAPITOL HILL,223 7TH STREET NE,-,WASHINGTON,DC,20002,District Of Columbia,(202) 675-0400,3,L_006_01_CI_LOWER,0.887,-,04/01/2023,03/31/2024,-
92003,BRIDGEPOINT CONT CARE HOSPITAL - NAT HARBORSIDE,4601 MARTIN LUTHER KING JR AVENUE,-,WASHINGTON,DC,20032,District Of Columbia,(202) 574-5770,3,L_006_01_CI_LOWER,0.701,-,04/01/2023,03/31/2024,-
