CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Measure Code,Measure Name,Score,Footnote,Measure Date Range
491500,CAPITAL HOSPICE,"3180 FAIRVIEW PARK DR, STE 600",,FALLS CHURCH,VA,22042,Fairfax,(703) 712-4874,3,H_001_01_DENOMINATOR,,3582,,04/01/2023-03/31/2024
491551,COMPASSUS - RESTON,14900 CONFERENCE CENTER DRIVE SUITE 170,,CHANTILLY,VA,20151,Fairfax,(571) 262-5200,3,H_001_01_DENOMINATOR,,212,,04/01/2023-03/31/2024
491553,GOODWIN HOUSE PALLIATIVE CARE AND HOSPICE,3440 SOUTH JEFFERSON STREET,,FALLS CHURCH,VA,22041,Fairfax,(703) 578-7108,3,H_001_01_DENOMINATOR,,527,,04/01/2023-03/31/2024
491599,"PROFESSIONAL HEALTHCARE RESOURCES, INC","7619 LITTLE RIVER TURNPIKE, SUITE 600",,ANNANDALE,VA,22003,Fairfax,(703) 379-9012,3,H_001_01_DENOMINATOR,,Not Available,4,04/01/2023-03/31/2024
491623,THE MEDICAL TEAM,1896 PRESTON WHITE DRIVE,,RESTON,VA,20191,Fairfax,(703) 390-2300,3,H_001_01_DENOMINATOR,,157,,04/01/2023-03/31/2024
491642,EVERGREEN HEALTH CARE MANAGEMENT,"4115 ANNANDALE ROAD, SUITE 208",,ANNANDALE,VA,22003,Fairfax,(703) 534-5049,3,H_001_01_DENOMINATOR,,8,,04/01/2023-03/31/2024
491653,HOSPICE PLUS OF VIRGINIA LLC,8500 LEESBURG PIKE #500,,VIENNA,VA,22182,Fairfax,(571) 766-0922,3,H_001_01_DENOMINATOR,,49,,04/01/2023-03/31/2024
