CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Measure Code,Measure Name,Score,Footnote,Measure Date Range
211502,HOLY CROSS HOME CARE AND HOSPICE,10720 COLUMBIA PIKE SECOND FLOOR,,SILVER SPRING,MD,20901,Montgomery,(301) 557-4663,3,H_001_01_DENOMINATOR,,396,,04/01/2023-03/31/2024
211503,PRINCE GEORGE'S HOSPICE ,"1355 PICCARD DRIVE, SUITE 100",,ROCKVILLE,MD,20850,Montgomery,(301) 921-4400,3,H_001_01_DENOMINATOR,,2302,,04/01/2023-03/31/2024
211508,JEWISH SOCIAL SERVICE AGENCY HOSPICE,6123 MONTROSE ROAD,,ROCKVILLE,MD,20850,Montgomery,(301) 881-3700,3,H_001_01_DENOMINATOR,,734,,04/01/2023-03/31/2024
211509,HOSPICE OF THE CHESAPEAKE,90 RITCHIE HIGHWAY,,PASADENA,MD,21122,Anne Arundel,(443) 837-1519,3,H_001_01_DENOMINATOR,,2407,,04/01/2023-03/31/2024
211519,"HOSPICE OF THE CHESAPEAKE, INC.",2505 DAVIS ROAD,,WALDORF,MD,20603,Charles,(443) 837-1519,3,H_001_01_DENOMINATOR,,633,,04/01/2023-03/31/2024
211541,CAPITAL CARING ,9885 GREENBELT ROAD,,LANHAM,MD,20706,Prince George's,(301) 883-0866,3,H_001_01_DENOMINATOR,,488,,04/01/2023-03/31/2024
211542,HEARTLAND HOSPICE (BELTSVILLE),"12304 BALTIMORE AVENUE, SUITE A",,BELTSVILLE,MD,20705,Prince George's,(240) 264-1692,3,H_001_01_DENOMINATOR,,544,,04/01/2023-03/31/2024
211544,AMEDISYS HOSPICE,1400 MERCANTILE LANE SUITE 228,,LARGO,MD,20774,Prince George's,(301) 349-3568,3,H_001_01_DENOMINATOR,,137,,04/01/2023-03/31/2024
211546,LUMINIS HEALTH GILCHRIST LIFE CARE INSTITUTE ,"2000 MEDICAL PARKWAY, SUITE 607",,ANNAPOLIS,MD,21401,Anne Arundel,(443) 843-8200,3,H_001_01_DENOMINATOR,,609,,04/01/2023-03/31/2024
