CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Measure Code,Measure Name,Score,Footnote,Measure Date Range
211541,CAPITAL CARING ,9885 GREENBELT ROAD,,LANHAM,MD,20706,Prince George's,(301) 883-0866,3,H_001_01_DENOMINATOR,,488,,04/01/2023-03/31/2024
211542,HEARTLAND HOSPICE (BELTSVILLE),"12304 BALTIMORE AVENUE, SUITE A",,BELTSVILLE,MD,20705,Prince George's,(240) 264-1692,3,H_001_01_DENOMINATOR,,544,,04/01/2023-03/31/2024
211544,AMEDISYS HOSPICE,1400 MERCANTILE LANE SUITE 228,,LARGO,MD,20774,Prince George's,(301) 349-3568,3,H_001_01_DENOMINATOR,,137,,04/01/2023-03/31/2024
