CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Measure Code,Measure Name,Score,Footnote,Measure Date Range
211502,HOLY CROSS HOME CARE AND HOSPICE,10720 COLUMBIA PIKE SECOND FLOOR,,SILVER SPRING,MD,20901,Montgomery,(301) 557-4663,3,H_001_01_DENOMINATOR,,396,,04/01/2023-03/31/2024
211503,PRINCE GEORGE'S HOSPICE ,"1355 PICCARD DRIVE, SUITE 100",,ROCKVILLE,MD,20850,Montgomery,(301) 921-4400,3,H_001_01_DENOMINATOR,,2302,,04/01/2023-03/31/2024
211508,JEWISH SOCIAL SERVICE AGENCY HOSPICE,6123 MONTROSE ROAD,,ROCKVILLE,MD,20850,Montgomery,(301) 881-3700,3,H_001_01_DENOMINATOR,,734,,04/01/2023-03/31/2024
