CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Measure Code,Measure Name,Score,Footnote,Measure Date Range
211509,HOSPICE OF THE CHESAPEAKE,90 RITCHIE HIGHWAY,,PASADENA,MD,21122,Anne Arundel,(443) 837-1519,3,H_001_01_DENOMINATOR,,2407,,04/01/2023-03/31/2024
211546,LUMINIS HEALTH GILCHRIST LIFE CARE INSTITUTE ,"2000 MEDICAL PARKWAY, SUITE 607",,ANNAPOLIS,MD,21401,Anne Arundel,(443) 843-8200,3,H_001_01_DENOMINATOR,,609,,04/01/2023-03/31/2024
